year,general_tax_rate,equalization_ratio,reval_flag,total_levy,county_levy,school_levy,municipal_levy,net_valuation_taxable,equalized_value,rate_is_implied,source_file
1998,9.5189,0.394,,21804166.78,4215533.65,12003344,5585289.13,229062559,581377053.2994925,false,98taxes.xls
1999,10.2293,0.3755,,,4386807.25,13297412,5702377.68,228623063,608849701.7310253,false,99taxes.xls
2000,10.5183,0.3386,,24225547.259999998,4439951.56,13914715,5870880.7,230318500,680208210.2776136,false,00taxes.xls
2001,10.8873,0.2972,,25091620.06,4525580.11,14568428,5997611.95,230465859,775457129.8788695,false,01taxes.xls
2002,12.0265,0.2561,,27841858.03,4850786.98,16817079,6173992.05,231503342,903956821.5540805,false,02taxes.xls
2003,12.7549,0.2205,,29650720.22,5324814.62,17988200,6337705.6,232465002,1054263047.6190476,false,03taxes.xls
2004,13.3312,0.1989,,31129367.53,5538431.14,18819455,6771481.39,233507481,1173994374.0573153,false,04taxes.xls
2005,14.2649,0.181,,33268723.159999996,5607343.4399999995,20489845,7171534.72,233220100,1288508839.7790053,false,05taxes.xls
2006,15.0509,0.1664,,35218148.03,5648391.79,22177489,7392267.24,233994184,1406215048.0769231,false,06taxes.xls
2007,15.607,0.1543,,36618588.2,5535961.2,23017558,8065069,234629485,1520605865.197667,false,07taxes.xls
2008,2.6861,0.9119,,38765121.35,6103628.28,24171677,8489816.07,1443195591,1582624839.3464196,false,08taxes.xls
2009,2.775,0.9161,,39884465.03,6177057.34,24872877,8834530.69,1437268029,1568898623.512717,false,09taxes.xls
2010,2.9062,0.9496,,41372890.64,6327900.210000001,25810652,9234338.43,1423628332,1499187375.7371526,false,10taxes.xls
2011,2.9677,0.9712,,42118272.55,6549824.16,26030506,9537942.39,1419213439,1461298845.7578254,false,11taxes.xls
2012,3.0504,0.9638,,43015418.29,6702046.859999999,26344109,9969262.430000002,1410160201,1463125338.2444491,false,12taxes.xls
2013,3.246,0.9249,,44447159.75,7227178.94,26857652,10362328.81,1369281300,1480464158.2873826,false,13taxes.xls
2014,3.3726,0.9134,,46250220.1,7752303.569999999,27841642,10656274.53,1371348300,1501318526,false,14taxes.xls
2015,3.4252,0.8828,,47156618.269999996,7860889.200000001,28384732,10910997.07,1376746000,1559456286,false,15taxes.xls
2016,3.5038,0.8405,,48370492.53,8166863.46,29042089,11161540.07,1380509900,1642393358,false,16taxes.xls
2017,3.6063,0.8118,,49864221.46,8546694.48,29893889,11423637.98,1382682900,1703121220,false,17taxes.xls
2018,3.6881,0.7861,,51227375.67,8634619.23,30921442,11671314.44,1388990400,1766804166,false,18taxes.xls
2019,3.0906,0.9164,,52572594.53,8643298.33,32000530,11928766.200000001,1701070200,1856175358,false,19taxes.xls
2020,3.1863,0.8958,,54274274.59,9042768.079999998,32997188,12234318.51,1703366100,1901404528,false,20taxes.xls
2021,3.2447,0.8411,,55553097.18,9193542.64,33746614,12612940.540000001,1712143200,2035440467,false,21taxes.xls
2022,3.2928,0.7589,,56582810.25,9414845.93,34308832,12859132.32,1718387327,2264059277,false,22taxes.xls
2023,3.3734,0.7005,,58026961.60000001,9734991.82,35058925,13233044.78,1720115800,2455234552,false,23taxes.xls
2024,3.4176,0.6437,,58925607.089999996,9441059.44,35773879,13710668.649999999,1724169000,2678135709,false,24taxes.xls
2025,3.5076,0.5825,,60667952.33,9498253.33,36943996,14225703,1729624400,2968844818,false,25taxes.xls
